con_level,rps,98p,longest
200,4107.74,240,242
10,6204.5,3,3
15,8415.38,4,4
80,8750.95,12,12
20,8299.21,4,6
150,2364.39,205,209
30,8731.08,5,6
100,8672.12,14,15
300,3569.48,215,217
50,8257.64,8,8
250,3616.82,209,210
