con_level,rps,98p,longest
200,31.17,9450,10250
10,26.94,888,1148
15,28.11,1443,1646
80,26.09,6091,6229
20,28.21,1681,2040
150,29.1,6664,8009
30,28.15,2275,2620
100,28.24,5424,6300
300,30.82,16172,17088
50,26.63,4966,5072
250,30.66,12435,14668
