con_level,rps,98p,longest
200,16.33,22257,23266
10,11.21,1351,1545
15,11.18,2043,2290
80,11.03,8788,8789
20,11.17,2633,2907
150,12.52,14878,16080
30,11.19,3870,4023
100,11.2,10544,11495
300,27.59,22086,24527
50,11.18,5882,6162
250,21.04,23251,24235
