con_level,rps,98p,longest
200,11.68,22109,23646
10,10.82,1369,1489
15,10.84,2074,2268
80,10.88,9004,9964
20,10.86,2756,2881
150,12.25,15884,16444
30,10.8,4029,4071
100,10.89,11023,12967
300,16.55,30198,31972
50,10.93,5905,6276
250,11.45,27900,31404
