con_level,rps,98p,longest
200,7718.37,38,56
10,5461.3,4,4
15,6356.87,4,5
80,7771.82,15,16
20,6537.94,5,6
150,7356.62,38,41
30,7233.1,8,12
100,7869.8,20,22
300,8250.01,51,58
50,7093.88,13,14
250,8221.39,42,53
